Mods count: 180
 
jar name                                                        | mod id (isMCreator)           | mixin configs
FermiumMixins-1.0.12.jar                                        | fermiummixins                 | mixins.fermiummixins.early.vanilla.bossvehicle.json, mixins.fermiummixins.late.quark.worldgenlag.json, mixins.fermiummixins.late.dramatictrees.aabbcache.json, mixins.fermiummixins.late.quark.disablecolorizer.json, mixins.fermiummixins.late.incontrol.spawnrulefix.json, mixins.fermiummixins.early.vanilla.autosavelog.json, mixins.fermiummixins.late.dynamicsurroundings.chatrender.json, mixins.fermiummixins.late.mobends.idcrash.json, mixins.fermiummixins.early.vanilla.spawnchunkradiuspatch.json, mixins.fermiummixins.early.vanilla.viewdistanceoverride.json, mixins.fermiummixins.early.vanilla.materialcheck.json, mixins.fermiummixins.early.vanilla.stackablesoupbowlfix.json, mixins.fermiummixins.late.champions.particle.json, mixins.fermiummixins.early.vanilla.giantzombiespawnfix.json, mixins.fermiummixins.early.bloodmoon.optifinerender.json, mixins.fermiummixins.late.firstaid.heartrender.json, mixins.fermiummixins.late.spawnercontrol.lycanitesmobs.json, mixins.fermiummixins.early.fancymenu.servercrash.json, mixins.fermiummixins.early.charm.shulkerinsertion.json, mixins.fermiummixins.early.vanilla.blockstateidentity.json, mixins.fermiummixins.early.bountifulbaubles.flaregun.json, mixins.fermiummixins.late.dynamicsurroundings.barophotometer.json, mixins.fermiummixins.late.switchbow.luckarrow.json, mixins.fermiummixins.early.vanilla.glerror.json, mixins.fermiummixins.late.charm.runeportalplayeronly.json, mixins.fermiummixins.early.vanilla.mergexporbs.json, mixins.fermiummixins.late.advancedrocketry.orbitaloverride.json, mixins.fermiummixins.late.openterraingenerator.pregen.json, mixins.fermiummixins.early.spawnercontrol.curing.json, mixins.fermiummixins.late.battletowers.configperformance.json, mixins.fermiummixins.late.quark.signeditsync.json, mixins.fermiummixins.late.carryon.pig.json, mixins.fermiummixins.late.openterraingenerator.respawn.json, mixins.fermiummixins.late.codechickenlib.dimlag.json, mixins.fermiummixins.late.lycanitesmobs.invalidsoulbound.json, mixins.fermiummixins.late.quark.enchanttooltip.json, mixins.fermiummixins.late.champions.infested.json, mixins.fermiummixins.late.reskillable.hungryfarmer.json, mixins.fermiummixins.late.quark.chestboatdupe.json, mixins.fermiummixins.late.waystones.swapping.json, mixins.fermiummixins.early.vanilla.chunkentitylistpatch.json, mixins.fermiummixins.late.bettermineshafts.performance.json, mixins.fermiummixins.early.vanilla.entitytrackerdesync.json, mixins.fermiummixins.late.inspirations.protection.json, mixins.fermiummixins.late.jei.enchant.json, mixins.fermiummixins.late.classyhats.pickblock.json, mixins.fermiummixins.late.toolbelt.dupe.json, mixins.fermiummixins.late.elenaidodge.performance.json, mixins.fermiummixins.late.simpledifficulty.commands.json, mixins.fermiummixins.early.vanilla.mineshaftbiomeblacklist.json, mixins.fermiummixins.late.notreepunching.claytool.json, mixins.fermiummixins.late.forgottenitems.bound.json, mixins.fermiummixins.late.charm.magneticdupe.json, mixins.fermiummixins.early.quark.runeoptifine.json, mixins.fermiummixins.late.foodexpansion.llama.json, mixins.fermiummixins.early.vanilla.cancelclientpotions.json, mixins.fermiummixins.early.vanilla.furnacexplimitfix.json, mixins.fermiummixins.late.quark.usagetickervisible.json, mixins.fermiummixins.late.forgottenitems.veinpick.json, mixins.fermiummixins.late.cosmeticarmorreworked.blacklist.json, mixins.fermiummixins.early.vanilla.teleportinglagpatch.json, mixins.fermiummixins.late.betternether.memoryleak.json, mixins.fermiummixins.late.disenchanter.crash.json, mixins.fermiummixins.late.lycanitesmobs.render.json, mixins.fermiummixins.late.betterfoliage.offset.json, mixins.fermiummixins.late.bountifulbaubles.drink.json, mixins.fermiummixins.late.sereneseasons.performance.json, mixins.fermiummixins.early.mobends.idcrash.json, mixins.fermiummixins.early.vanilla.fallblocktick.json, mixins.fermiummixins.late.battletowers.golemtarget.json, mixins.fermiummixins.late.inspirations.colorcrash.json, mixins.fermiummixins.early.vanilla.stopsleepresettingweather.json, mixins.fermiummixins.early.vanilla.tippedarrowblacklist.json, mixins.fermiummixins.late.roughtweaks.salve.json, mixins.fermiummixins.early.vanilla.maxbedrockrange.json, mixins.fermiummixins.early.vanilla.blockstorageoptifine.json, mixins.fermiummixins.early.bloodmoon.lootpickup.json, mixins.fermiummixins.early.vanilla.waterchunkgenticking.json, mixins.fermiummixins.early.vanilla.hardcoregameoverfix.json, mixins.fermiummixins.early.vanilla.suppressdangerousprefix.json, mixins.fermiummixins.early.mobends.memleak.json, mixins.fermiummixins.late.notreepunching.mattock.json, mixins.fermiummixins.late.champions.infernals.json, mixins.fermiummixins.early.vanilla.suppressbrokenoredict.json, mixins.fermiummixins.late.astikorcarts.bosscart.json, mixins.fermiummixins.early.biomesoplenty.waspfarm.json, mixins.fermiummixins.early.vanilla.chunkvisibilitycache.json, mixins.fermiummixins.early.vanilla.playerdeathshakefix.json, mixins.fermiummixins.early.itemphysics.servercrash.json, mixins.fermiummixins.late.forgottenitems.rune.json, mixins.fermiummixins.late.betternether.slabdrop.json, mixins.fermiummixins.early.vanilla.mendingpriorities.json, mixins.fermiummixins.early.vanilla.additionalcarverblocks.json, mixins.fermiummixins.late.bountifulbaubles.isshield.json, mixins.fermiummixins.early.vanilla.particlecollisionfix.json, mixins.fermiummixins.late.quark.chestsearchbarclear.json, mixins.fermiummixins.late.simpledifficulty.raincanteen.json, mixins.fermiummixins.late.betterquesting.memoryleak.json, mixins.fermiummixins.late.itemphysics.reach.json, mixins.fermiummixins.late.lycanitesmobs.itemframe.json, mixins.fermiummixins.late.quark.disablespringyslime.json, mixins.fermiummixins.late.bountifulbaubles.brokenheart.json, mixins.fermiummixins.late.champions.jailer.json, mixins.fermiummixins.late.corpsecomplex.xpreturn.json, mixins.fermiummixins.late.defiledlands.bookwyrms.json, mixins.fermiummixins.late.dynamicsurroundings.customchat.json, mixins.fermiummixins.late.itemphysics.servercrash.json, mixins.fermiummixins.refmap.json, mixins.fermiummixins.early.vanilla.nukeadvancements.json, mixins.fermiummixins.late.neat.optifinerender.json, mixins.fermiummixins.late.switchbow.lovearrow.json, mixins.fermiummixins.early.vanilla.lazychunkmobspawns.json, mixins.fermiummixins.early.vanilla.clientpriority.json, mixins.fermiummixins.early.vanilla.configwaterfalldamage.json, mixins.fermiummixins.late.qualitytools.reforgingcrashfix.json, mixins.fermiummixins.late.infernalmobs.sethealthoverwrite.json, mixins.fermiummixins.late.champions.reflecting.json, mixins.fermiummixins.late.waystones.falldistance.json, mixins.fermiummixins.early.vanilla.worldbordertimecache.json, mixins.fermiummixins.early.vanilla.particlerenderpatch.json, mixins.fermiummixins.early.vanilla.worldflammablepos.json, mixins.fermiummixins.late.champions.ownable.json, mixins.fermiummixins.early.vanilla.pathfindingloading.json, mixins.fermiummixins.late.reskillable.tracking.json, mixins.fermiummixins.late.qualitytools.performance.json, mixins.fermiummixins.late.champions.deathmessage.json, mixins.fermiummixins.late.quark.chestsearchbaryoffset.json, mixins.fermiummixins.late.carryon.chesthorse.json, mixins.fermiummixins.late.defiledlands.corruption.json, mixins.fermiummixins.early.netherapi.respawnprotection.json, mixins.fermiummixins.late.openterraingenerator.worldgencrash.json, mixins.fermiummixins.late.quark.stonelingstall.json, mixins.fermiummixins.late.waystones.naming.json, mixins.fermiummixins.early.vanilla.lowercroucheyeheight.json, mixins.fermiummixins.late.reskillable.undershirt.json, mixins.fermiummixins.early.vanilla.untippedarrowparticles.json, mixins.fermiummixins.late.bountifulbaubles.trumpet.json, mixins.fermiummixins.early.vanilla.strayhuskspawningfix.json, mixins.fermiummixins.late.dramatictrees.lighting.json, mixins.fermiummixins.late.quark.monsterboxperformance.json, mixins.fermiummixins.late.infernalmobs.configperformance.json, mixins.fermiummixins.late.switchbow.arrowlaunchernullstacks.json, mixins.fermiummixins.early.vanilla.outdatedchunkdata.json, mixins.fermiummixins.late.bettermineshafts.blacklist.json, mixins.fermiummixins.early.vanilla.stoppigmenportalspawns.json, mixins.fermiummixins.early.vanilla.serverpriority.json, mixins.fermiummixins.late.betternether.doordupe.json, mixins.fermiummixins.late.autoreglib.fbpcrash.json, mixins.fermiummixins.late.reskillable.goldenbookwyrm.json, mixins.fermiummixins.early.vanilla.entityvelocitysync.json, mixins.fermiummixins.late.locks.dupe.json, mixins.fermiummixins.late.lostcities.respawn.json, mixins.fermiummixins.early.vanilla.idleguardiansinking.json, mixins.fermiummixins.late.dramatictrees.overhaul.json, mixins.fermiummixins.early.vanilla.clampgamma.json, mixins.fermiummixins.early.vanilla.healthdesyncpatch.json, mixins.fermiummixins.late.astikorcarts.cartdistance.json, mixins.fermiummixins.late.charm.rustingdurability.json, mixins.fermiummixins.early.vanilla.customdimensionfillerblock.json, mixins.fermiummixins.late.potioncore.invert.json, mixins.fermiummixins.early.vanilla.potionamplifiervisibility.json, mixins.fermiummixins.late.reskillable.selfdamage.json, mixins.fermiummixins.late.switchbow.quiver.json, mixins.fermiummixins.late.champions.droppedxp.json, mixins.fermiummixins.late.lycanitesmobs.customitem.json, mixins.fermiummixins.early.vanilla.respawnprotection.json, mixins.fermiummixins.late.betternether.soupbowl.json, mixins.fermiummixins.late.openterraingenerator.cacheloadspeed.json, mixins.fermiummixins.late.quark.chatlinkcrash.json, mixins.fermiummixins.late.lycanitesmobs.spriggan.json, mixins.fermiummixins.late.bountifulbaubles.knockback.json, mixins.fermiummixins.late.carryon.position.json, mixins.fermiummixins.late.dynamicsurroundings.potionamplifier.json, mixins.fermiummixins.late.simpledifficulty.collectorcanteen.json, mixins.fermiummixins.late.carryon.chest.json, mixins.fermiummixins.late.infernalmobs.particle.json, mixins.fermiummixins.late.doomlikedungeons.themeerror.json, mixins.fermiummixins.late.quark.disableemotes.json, mixins.fermiummixins.late.reskillable.seedfood.json, mixins.fermiummixins.early.vanilla.suppressaddpacket.json, mixins.fermiummixins.late.reskillable.roadwalk.json, mixins.fermiummixins.late.quark.enderwatcher.json, mixins.fermiummixins.early.waystones.naming.json, mixins.fermiummixins.late.netherapi.betternethercrash.json, mixins.fermiummixins.late.quark.stonelingdupe.json, mixins.fermiummixins.late.bountifulbaubles.flaregun.json, mixins.fermiummixins.early.vanilla.delayedpacketerrors.json, mixins.fermiummixins.late.betterfoliage.cache.json, mixins.fermiummixins.late.spawnercontrol.farmingfix.json, mixins.fermiummixins.late.potioncore.revival.json, mixins.fermiummixins.early.vanilla.hoerepair.json, mixins.fermiummixins.late.openterraingenerator.savetodiskcrash.json, mixins.fermiummixins.late.quark.villagerdoorai.json, mixins.fermiummixins.early.vanilla.smoothcrouching.json, mixins.fermiummixins.early.anvilpatch.tooexpensivefix.json, mixins.fermiummixins.late.qualitytools.tooltip.json, mixins.fermiummixins.late.bloodmoon.spawnerperformance.json, mixins.fermiummixins.late.quark.stonelingspawn.json, mixins.fermiummixins.late.bountifulbaubles.fireresistance.json, mixins.fermiummixins.late.mobends.memleak.json, mixins.fermiummixins.early.vanilla.suppressreceivedpassengers.json, mixins.fermiummixins.late.itemphysics.carryonq.json, mixins.fermiummixins.late.lycanitesmobs.minion.json, mixins.fermiummixins.late.bountifulbaubles.binding.json, mixins.fermiummixins.late.distinctdamagedescriptions.skylight.json, mixins.fermiummixins.early.vanilla.weathertiming.json, mixins.fermiummixins.early.vanilla.containerdropfix.json
Fixeroo-2.3.6.jar                                               | xporbclump                    | 
Fluid Craft for AE2-2.6.6-r.jar                                 | ae2fc                         | 
Forgelin-1.8.4.jar                                              | forgelin                      | 
Forgelin-Continuous-2.3.10.0.jar                                | forgelin_continuous           | 
ForkedEnderTweaker-2.0.3.jar                                    | endertweaker                  | 
FpsReducer-mc1.12.2-1.20.jar                                    | fpsreducer                    | 
FurnaceXPStorage-1.3.1.jar                                      | furnacexpstorage              | mixins.furnacexpstorage.morefurnacesnomifactory.json, mixins.furnacexpstorage.crafttweaker.json, mixins.furnacexpstorage.ironfurnaces.json, mixins.furnacexpstorage.json, mixins.furnacexpstorage.simplecore.json, mixins.furnacexpstorage.mysticalagriculture.json, mixins.furnacexpstorage.furnus.json, mixins.furnacexpstorage.furnaceoverhaul.json, mixins.furnacexpstorage.jei.json, mixins.furnacexpstorage.betterwithmods.json, mixins.furnacexpstorage.hei.json, mixins.furnacexpstorage.natura.json, mixins.furnacexpstorage.nuclearcraft.json, mixins.furnacexpstorage.betterfurnacesreforged.json, mixins.furnacexpstorage.divinerpg.json, mixins.furnacexpstorage.nethercraft.json, mixins.furnacexpstorage.betternether.json, mixins.furnacexpstorage.refmap.json, mixins.furnacexpstorage.betterend.json, mixins.furnacexpstorage.fastfurnace.json, mixins.furnacexpstorage.morefurnaces.json
GameStages-1.12.2-2.0.123.jar                                   | gamestages                    | 
gnetum-1.3.5.jar                                                | gnetum                        | mixins.gnetum.refmap.json, mixins.gnetum.early.json, mixins.gnetum.late.json
groovyscript-1.4.0.jar                                          | groovyscript                  | mixin.groovyscript.betterwithmods.json, mixin.groovyscript.techreborn.json, mixin.groovyscript.thermalexpansion.json, mixin.groovyscript.essentialcraft.json, mixin.groovyscript.bloodmagic.json, mixin.groovyscript.calculator.json, mixin.groovyscript.enderio.json, mixin.groovyscript.thebetweenlands.json, mixin.groovyscript.armorplus.json, mixin.groovyscript.magneticraft.json, mixin.groovyscript.woot.json, mixin.groovyscript.ic2_exp.json, mixin.groovyscript.astralsorcery.json, mixin.groovyscript.mekanism.json, mixin.groovyscript.projecte.json, mixin.groovyscript.advancedmortars.json, mixin.groovyscript.tconstruct.json, mixin.groovyscript.draconicevolution.json, mixin.groovyscript.forestry.json, mixins.groovyscript.refmap.json, mixin.groovyscript.roots.json, mixin.groovyscript.erebus.json, mixin.groovyscript.betterwithaddons.json, mixin.groovyscript.inspirations.json, mixin.groovyscript.pneumaticcraft.json, mixin.groovyscript.primal_tech.json, mixin.groovyscript.tcomplement.json, mixin.groovyscript.extendedcrafting.json, mixin.groovyscript.industrialforegoing.json, mixin.groovyscript.botania.json, mixin.groovyscript.appliedenergistics2.json, mixin.groovyscript.jei.json, mixin.groovyscript.ic2_classic.json, mixin.groovyscript.json, mixin.groovyscript.extrautils2.json, mixin.groovyscript.pyrotech.json
Guide-API-1.12-2.1.8-63.jar                                     | guideapi                      | 
HadEnoughItems_1.12.2-4.29.15.jar                               | jei                           | 
Highlighter-1.12.2-forge-1.1.7.jar                              | highlighter                   | highlighter.mixins.json
HungerTweaker-1.12.2-1.3.0.jar                                  | hungertweaker                 | 
Hwyla-1.8.26-B41_1.12.2.jar                                     | waila                         | 
industrialforegoing-1.12.2-1.12.13-237.jar                      | industrialforegoing           | 
Jade-0.1.0.jar                                                  | jade                          | 
JEI-Utilities-1.12.2-0.2.13.jar                                 | jeiutilities                  | 
jei_area_fixer-2.3.0.jar                                        | jei_area_fixer                | mixins.jei_area_fixer.refmap.json, mixins.mods.json, mixins.minecraft.json
justenoughdimensions-1.12.2-1.6.0-dev.20211009.214847.jar       | justenoughdimensions          | 
JustEnoughEffects-1.0.3.jar                                     | effectinfo                    | 
justenoughmagiculture-1.12.2-1.2.1.jar                          | justenoughmagiculture         | 
JustEnoughResources-1.12.2-0.9.3.203.jar                        | jeresources                   | 
KleeSlabs_1.12.2-5.4.12.jar                                     | kleeslabs                     | 
konkrete_forge_1.6.1_MC_1.12-1.12.2.jar                         | konkrete                      | konkrete.mixin-refmap.json, konkrete.mixin.json
lemonskin-4.0.0.jar                                             | lemonskin                     | mixins.lemonskin.mantle.json, mixins.lemonskin.simpledifficulty.json, mixins.lemonskin.refmap.json, mixins.lemonskin.json
LootTweaker-0.5.1+MC1.12.2-DLS0.jar                             | loottweaker                   | mixins.loottweaker.refmap.json, loottweaker.mixins.json
    /META-INF/libraries/DaomephstaLootShared-0.0.2+MC1.12.2.jar | daomephsta_loot_shared        | daomephsta_loot_shared.mixins.json, mixins.daomephsta_loot_shared.refmap.json
Mantle-1.12-1.3.3.55.jar                                        | mantle                        | 
mcjtylib-1.12-3.5.4.jar                                         | mcjtylib_ng                   | 
Mclogs-forge-1.0.5-for-1.12.2.jar                               | mclogs                        | 
mcmouser-1.12.2-forge-1.0.2.jar                                 |                               | 
Modpack Configuration Checker-1.12.2-v1.9.5.jar                 | concheckrmd                   | 
modtweaker-4.0.20.11.jar                                        | modtweaker                    | 
ModularMachinery-CE-2.3.2.jar                                   | modularmachinery              | mixins.mmce_ae2.json, mixins.mmce.refmap.json, mixins.mmce_jei_hacky.json, mixins.mmce_nae2.json, mixins.mmce_minecraft.json
modularui-3.1.5.jar                                             | modularui                     | mixins.modularui.refmap.json, mixin.modularui.jei.json, mixin.modularui.json
MoreTweaker-1.0.19.jar                                          | moretweaker                   | 
mousetweaks-1.12.2-3.1.5.jar                                    | mousetweaks                   | 
MTLib-3.0.7.jar                                                 | mtlib                         | 
MysticalAgradditions-1.12.2-1.3.2.jar                           | mysticalagradditions          | 
mysticalagriculture-ce-1.8.3.jar                                | mysticalagriculture           | 
Nether-API-v1.4.2-mc1.12.2.jar                                  | nether_api                    | 
NoiseThreader-1.1.3.jar                                         | noisethreader                 | mixins.noisethreader.refmap.json, mixins.noisethreader.otg.cache.json, mixins.noisethreader.vanilla.json, mixins.noisethreader.otg.json, mixins.noisethreader.vanilla.cache.json, mixins.noisethreader.bettercaves.json
nuclearcraft-1.12.2-2.19a.jar                                   | nuclearcraft                  | 
OptifineCITPatch-1.0.5.jar                                      | optifinecitpatch              | mixins.optifinecitpatch.glint.json, mixins.optifinecitpatch.firstenchant.json, mixins.optifinecitpatch.fixmissing.json, mixins.optifinecitpatch.refmap.json, mixins.optifinecitpatch.logspam.json, mixins.optifinecitpatch.reloadonlogin.json
OptiNotFine-1.0.jar                                             | optinotfine                   | 
PackagedAuto-1.12.2-1.0.24.73.jar                               | packagedauto                  | 
